name	smiles
&alpha;-D-GalNAc-(1&rarr;6)-&alpha;-D-GalNAc-diphospho-ditrans,octacis-undecaprenol	CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](OP(=O)(O)OP(=O)(O)OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)[C@H](NC(C)=O)[C@@H](O)[C@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O
lauroyl-CoA	CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
dialurate	O=C1NC(=O)C(O)C(=O)N1
&alpha;-D-glucose 6-phosphate	O=P(O)(O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
prenyl diphosphate	CC(C)=CCOP(=O)(O)OP(=O)(O)O
L-alanine	C[C@H](N)C(=O)O
shikimate 3-phosphate	O=C(O)C1=C[C@@H](OP(=O)(O)O)[C@@H](O)[C@H](O)C1
L-glutamate-5-semialdehyde	N[C@@H](CCC=O)C(=O)O
<i>N</i>-acetyl-<i>S</i>-(2-succinyl)-L-cysteine	CC(=O)N[C@@H](CSC(CC(=O)O)C(=O)O)C(=O)O
O-succinyl-L-homoserine	N[C@@H](CCOC(=O)CCC(=O)O)C(=O)O
2-succinyl-5-enolpyruvoyl-6-hydroxy-3-cyclohexene-1-carboxylate	C=C(O[C@H]1CC=C(C(=O)CCC(=O)O)[C@@H](C(=O)O)[C@@H]1O)C(=O)O
acetoacetate	CC(=O)CC(=O)O
2,5-diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	Nc1nc(N[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(N)c(=O)[nH]1
ferroheme <i>o</i>	C=CC1=C(C)C2=[N+]3C1=Cc1c(C)c(CCC(=O)O)c4n1[Fe-2]31n3c(c(C)c([C@@H](O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c3=C2)=CC2=[N+]1C(=C4)C(CCC(=O)O)=C2C
